artist_name,artist_id
Verse Simmonds,14996
Vic Mensa,18814
Vince Staples,941
Vinnie Paz,319
Violent J,74283
Viper,48746
VL Mike,1819
Wyclef Jean,20503
Waka Flocka Flame,257
Wale,396
Warren G,169
Warryn Campbell,150496
Watsky,1720
Wax (rapper),21534
WC,43582
Webbie,20503
The Weeknd,2358
Westside Gunn,451539
Wikluh Sky,19621
Will Smith,1148
will.i.am,216609
Willie D,820
Willie the Kid,322
Willow Smith,12224
Willy Northpole,7680
Wish Bone,155325
Witchdoctor,1308
Wiz Khalifa,310
Wizkid,20148
Wrekonize,1802
Wiz Khalifa,310
Xzibit,291
X-Raided,3215
XV,1097318
XXXTentacion,396565
Young Jeezy,67
Ya Boy,1870
Yaki Kadafi,1158
Yazz The Greatest,475317
Yama Buddha,31043
YBN Nahmir,1219483
YC,11240
YDG,42161
Yelawolf,182
YFN Lucci,388683
YG,1450
Yo Gotti,118
Yo Yo Honey Singh,80846
Yoon Mi-rae,213556
Young Bleed,3524
Young Buck,402
Young Chop,27606
Young Chris,1266
Young Dolph,22437
Young Dre the Truth,479577
Young Dro,406
Young Greatness,65377
Young M.A,339543
Young Maylay,7977
Young MC,10471
Young Noble,2257
Young Scooter,23552
Young Thug,20503
YoungBoy Never Broke Again,656173
Your Old Droog,189044
Yubin,611756
Yukmouth,505
Yung Berg,11305
Yung Joc,614
Yung L.A.,823412
Yung Lean,48326
Yung Ro,2818
Yung Wun,1287
Yung6ix,69331
YZ,298985
Z-Ro,2
Zack de la Rocha,9775
Zaytoven,27822
Zebra Katz,16863
Zelooperz,15193
Zico,217593
Zombie Juice,234192
11/5,4861
112,504
116 Clique,9634
1200 Techniques,2625
2 In A Room,490782
2 Live Crew,809
2 Skinnee J's,28620
213,2295
2nd II None,2746
2XL,20902
3rd Bass,2548
3X Krazy,2766
415,13036
43zla,508851
4th Avenue Jones,2787
504 Boyz,2798
5th Ward Boyz,2853
5th Ward Juvenilez,52793
615,989198
69 Boyz,1296748
7 Notas 7 Colores,49810
7L and Esoteric,466
808 Mafia,27506
8Ball & MJG,974
95 South,2875
99 Posse,280987
Above the Law,11571
Achozen,2939
Advanced Chemistry,13610
Afro-Rican,1202994
Ali & Gipp,42
The Alkaholiks,291
Allfrumtha I,3087
The Almighty RSO,10148
Analog Brothers,3120
Another Bad Creation,2925
Anticon,1908
Antipop Consortium,96862
Army of the Pharaohs,426
Arrested Development,3190
Arsonists,73910
Articolo 31,50888
Artifacts,1497
ASAP Mob,147851
Assassin,1282
Atmosphere,385
Audio Push,1981
Audio Two,1867
Ayo & Teo,1041390
B-Rock and the Bizz,340468
B.A.P,68
Bankroll Mafia,344083
Bangtan Boys,70113
B.O.N.E. Enterpri$e,232375
B.U.G. Mafia,38244
Bad Copy,45714
Bad Meets Evil,11571
Basehead,203
Beastie Boys,329
The Beat Bullies,547
Beat Junkies,156
Beatnuts,480
Beginner,25183
Bell Biv DeVoe,8511
Beogradski Sindikat,28381
Big Bang,1585
Big Brovaz,106676
Big Tymers,18
Binary Star,1045
Blac Monks,567366
Black 47,333951
Black Alien & Speed,15063
The Black Eyed Peas,425
Black Hippy,17985
Black Market Militia,3313
Black Moon,2513
Black Noise,1073823
Black Sheep,268
Black Star,9534
Blackalicious,215
Blahzay Blahzay,3852
Blazin' Squad,3865
Bliss n Eso,1619
Blood of Abraham,3889
Bloods & Crips,396565
Blue Scholars,544
Body Head Bangerz,360750
The Bomb Squad,1421
Bomfunk MC's,3950
Bone Thugs-N-Harmony,64
Boo & Gotti,610968
Boo-Yaa T.R.I.B.E.,3929
Boogie Boys,3932
Boogie Down Productions,815
Boot Camp Clik,3955
Boss Hogg Outlawz,44300
Botany Boyz,162781
Boyz n da Hood,3978
Brand Nubian,1605
